EventKey,Country,EventName
1,Australia,Australian Grand Prix
2,China,Chinese Grand Prix
3,Japan,Japanese Grand Prix
4,Bahrain,Bahrain Grand Prix
5,Saudi Arabia,Saudi Arabian Grand Prix
6,United States,Miami Grand Prix
7,Italy,Emilia Romagna Grand Prix
8,Monaco,Monaco Grand Prix
9,Spain,Spanish Grand Prix
10,Canada,Canadian Grand Prix
11,Austria,Austrian Grand Prix
12,United Kingdom,British Grand Prix
13,Belgium,Belgian Grand Prix
14,Hungary,Hungarian Grand Prix
15,Netherlands,Dutch Grand Prix
16,Italy,Italian Grand Prix
17,Azerbaijan,Azerbaijan Grand Prix
18,Singapore,Singapore Grand Prix
19,United States,United States Grand Prix
20,Mexico,Mexico City Grand Prix
21,Brazil,São Paulo Grand Prix
22,United States,Las Vegas Grand Prix
23,Qatar,Qatar Grand Prix
24,United Arab Emirates,Abu Dhabi Grand Prix
