DriverKey,EventKey,RacePosition,Points,RaceTime,Status,GridPosition,Q1,Q2,Q3,QualiTime,QualiDiff
1,1,1.0,25.0,6126.304,Finished,1.0,75.912,75.415,75.096,75.096,0.0
2,1,2.0,18.0,0.895,Finished,3.0,76.018,75.565,75.481,75.481,0.3849999999999909
3,1,3.0,15.0,8.481,Finished,4.0,75.971,75.798,75.546,75.546,0.45000000000000284
4,1,4.0,12.0,10.135,Finished,16.0,76.525,,,76.525,1.429000000000002
5,1,5.0,10.0,12.773,Finished,6.0,76.245,76.017,75.737,75.737,0.6409999999999911
6,1,6.0,8.0,17.413,Finished,13.0,76.369,76.483,,76.483,1.3870000000000005
7,1,7.0,6.0,18.423,Finished,17.0,76.579,,,76.579,1.4829999999999899
8,1,8.0,4.0,19.826,Finished,7.0,76.029,75.827,75.755,75.755,0.6589999999999918
9,1,9.0,2.0,20.448,Finished,2.0,76.062,75.468,75.18,75.18,0.08400000000000318
10,1,10.0,1.0,22.473,Finished,8.0,76.213,75.919,75.973,75.973,0.8769999999999953
11,1,11.0,0.0,26.502,Finished,9.0,76.328,76.112,75.98,75.98,0.8840000000000003
12,1,12.0,0.0,29.884,Finished,5.0,76.225,76.009,75.67,75.67,0.5739999999999981
13,1,13.0,0.0,33.161,Finished,19.0,77.147,,,77.147,2.051000000000002
14,1,14.0,0.0,40.351,Finished,20.0,,,,,
15,1,15.0,0.0,,Retired,18.0,77.094,,,77.094,1.9979999999999905
16,1,16.0,0.0,,Retired,15.0,76.516,77.52,,77.52,2.4239999999999924
17,1,17.0,0.0,,Retired,12.0,76.288,76.453,,76.453,1.3569999999999993
18,1,18.0,0.0,,Retired,10.0,76.36,75.931,76.062,76.062,0.965999999999994
19,1,19.0,0.0,,Retired,14.0,76.315,76.863,,76.863,1.766999999999996
20,1,20.0,0.0,,Retired,11.0,76.354,76.175,,76.175,1.0789999999999935
9,2,1.0,25.0,5455.026,Finished,1.0,91.591,91.2,90.641,90.641,0.0
1,2,2.0,18.0,9.748,Finished,3.0,90.983,90.787,90.793,90.793,0.15200000000000102
3,2,3.0,15.0,11.097,Finished,2.0,91.295,91.307,90.723,90.723,0.08199999999999363
2,2,4.0,12.0,16.656,Finished,4.0,91.424,91.142,90.817,90.817,0.17599999999998772
13,2,5.0,10.0,49.969,Finished,11.0,91.876,91.625,,91.625,0.9839999999999947
4,2,6.0,8.0,53.748,Finished,8.0,91.676,91.59,91.103,91.103,0.4619999999999891
5,2,7.0,6.0,56.321,Finished,10.0,91.503,91.595,91.706,91.706,1.0649999999999977
14,2,8.0,4.0,61.303,Finished,17.0,92.018,,,92.018,1.3769999999999953
6,2,9.0,2.0,70.204,Finished,14.0,91.923,91.773,,91.773,1.1319999999999908
18,2,10.0,1.0,76.387,Finished,15.0,91.628,91.84,,91.84,1.198999999999998
20,2,11.0,0.0,78.875,Finished,7.0,91.162,91.253,91.079,91.079,0.4379999999999882
15,2,12.0,0.0,81.147,Finished,20.0,92.174,,,92.174,1.5330000000000013
